PC,Loading,gene_id,gene_name,protein,spid,protein_names,evalue
PC2,-0.054,GWK47_044097,,Protein ALP1-like,Q9M2U3,Protein ALP1-like (EC 3.1.-.-),2.24E-17
PC2,-0.054,GWK47_022413,,hypothetical protein,,,
PC2,-0.053,GWK47_029635,Cpm_3,Carboxypeptidase M,Q80V42,Carboxypeptidase M (CPM) (EC 3.4.17.12),1.35E-122
PC2,-0.052,GWK47_050744,ovo,Transcriptional regulator ovo,P51521,Transcriptional regulator ovo (Transcriptional repressor shavenbaby) (Transcriptional repressor svb) [Cleaved into: Transcriptional activator shavenbaby (Transcriptional activator svb)],8.69E-41
PC2,-0.051,GWK47_044956,,hypothetical protein,,,
PC2,-0.051,GWK47_013481,LEC1,C-type lectin,C6JUN9,C-type lectin (CTL),5.53E-20
PC2,-0.051,GWK47_018395,MRC1_0,Macrophage mannose receptor 1,Q9UBG0,C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280),6.12E-30
PC2,-0.051,GWK47_035746,,hypothetical protein,,,
PC2,-0.051,GWK47_012393,mas,Protein masquerade,Q9VZH2,Protein masquerade,1.85E-152
PC2,-0.050,GWK47_005843,Ldlrad3,Low-density lipoprotein receptor class A domain-containing protein 3,,,
PC2,-0.049,GWK47_028697,Nep2_0,Neprilysin-2,A0A0B4K692,"Neprilysin-2 (EC 3.4.24.11) [Cleaved into: Neprilysin-2, soluble form]",1.04E-175
PC2,-0.049,GWK47_004076,,hypothetical protein,,,
PC2,-0.049,GWK47_037408,ANPEP_2,Aminopeptidase Ey,O57579,Aminopeptidase Ey (EC 3.4.11.20) (Aminopeptidase N),2.21E-38
PC2,-0.049,GWK47_025690,Malrd1_2,MAM and LDL-receptor class A domain-containing protein 1,H9J9M0,Chitin deacetylase 1 (BmCDA1) (EC 3.5.1.41),6.21E-147
PC2,-0.048,GWK47_034065,,hypothetical protein,,,
PC2,-0.048,GWK47_043407,,hypothetical protein,,,
PC2,-0.048,GWK47_016603,,hypothetical protein,,,
PC2,-0.048,GWK47_006061,LRP1_1,Prolow-density lipoprotein receptor-related protein 1,,,
PC2,-0.047,GWK47_018134,Phm,Peptidylglycine alpha-hydroxylating monooxygenase,O01404,Peptidylglycine alpha-hydroxylating monooxygenase (dPHM) (EC 1.14.17.3),1.70E-60
PC2,-0.047,GWK47_039354,,Proton channel OtopLc,B7Z0W9,Proton channel OtopLc (Otopetrin-Lc) (DmOtopLc),2.49E-23
PC2,-0.046,GWK47_028696,Nep2_1,Neprilysin-2,A0A0B4K692,"Neprilysin-2 (EC 3.4.24.11) [Cleaved into: Neprilysin-2, soluble form]",5.80E-54
PC2,-0.044,GWK47_043346,olpB_2,Cell surface glycoprotein 1,O18023,Ig-like and fibronectin type-III domain-containing protein 2,3.76E-32
PC2,-0.042,GWK47_018133,pghm-1,putative peptidylglycine alpha-hydroxylating monooxygenase 1,Q95XM2,Probable peptidylglycine alpha-hydroxylating monooxygenase 1 (PHM) (EC 1.14.17.3),2.24E-23
PC2,-0.042,GWK47_046633,Lrp2_3,Low-density lipoprotein receptor-related protein 2,,,
PC2,-0.041,GWK47_035747,,hypothetical protein,,,
PC2,-0.041,GWK47_025788,,hypothetical protein,,,
PC2,-0.041,GWK47_029129,lrp-1_1,Low-density lipoprotein receptor-related protein,P98164,Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin),1.90E-53
PC2,-0.041,GWK47_049593,Pnlip_1,Pancreatic triacylglycerol lipase,Q6P8U6,Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3),1.84E-85
PC2,-0.040,GWK47_005844,,hypothetical protein,,,
PC2,-0.040,GWK47_004077,Ttn_1,Titin,,,
PC2,-0.039,GWK47_029130,Lrp2_1,Low-density lipoprotein receptor-related protein 2,C0HL13,Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin),1.17E-93
PC2,-0.039,GWK47_048101,,hypothetical protein,,,
PC2,-0.039,GWK47_028694,,hypothetical protein,,,
PC2,-0.039,GWK47_033199,,hypothetical protein,,,
PC2,-0.039,GWK47_054931,pip_0,Heparan sulfate 2-O-sulfotransferase pipe,Q86BJ3,Uronyl 2-sulfotransferase homolog pip (UST) (EC 2.8.2.-) (Heparan sulfate 2-O-sulfotransferase pipe) (Protein pipe),8.72E-75
PC2,-0.038,GWK47_020793,CSGALNACT2,Chondroitin sulfate N-acetylgalactosaminyltransferase 2,Q8N6G5,"Chondroitin sulfate N-acetylgalactosaminyltransferase 2 (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2) (Beta4GalNAcT-2) (GalNAcT-2)",5.82E-128
PC2,-0.038,GWK47_002915,CHST11,Carbohydrate sulfotransferase 11,,,
PC2,-0.037,GWK47_020942,,hypothetical protein,,,
PC2,-0.037,GWK47_026454,TGFBI,Transforming growth factor-beta-induced protein ig-h3,P55906,Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (MP70) (MP78),2.15E-47
PC2,-0.037,GWK47_014258,,hypothetical protein,,,
PC2,-0.035,GWK47_023390,gxylt1_0,Glucoside xylosyltransferase 1,Q5SP46,Glucoside xylosyltransferase 1 (EC 2.4.2.42) (Glycosyltransferase 8 domain-containing protein 3),2.16E-48
PC2,-0.035,GWK47_049966,Fasn,Fatty acid synthase,P12785,Fatty acid synthase (EC 2.3.1.85) (Type I FAS) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)],0.00E+00
PC2,-0.035,GWK47_005236,Fbxl7,F-box/LRR-repeat protein 7,Q5BJ29,F-box/LRR-repeat protein 7 (F-box and leucine-rich repeat protein 7),2.09E-47
PC2,-0.035,GWK47_027062,,hypothetical protein,,,
PC2,-0.035,GWK47_013925,,C-type lectin 37Da,,,
