Treatment	Relative Expression (compared to control)	Gene ID	baseMean	log2FoldChange	lfcSE	padj	-Log(P)	Gene Name	Protein	Uniprot SPID	Blast Evalue	Uniprot ID Protein Name	gene_ontology_biological_process
Severe OA (pH 7.5)	Higher	GWK47_002019	28	0.62	0.40	0.0470	1.33	dirc2_0	Disrupted in renal carcinoma protein 2	Q6GNV7	2.79E-16	Solute carrier family 49 member 4 homolog (Disrupted in renal carcinoma protein 2 homolog)	pyridoxine transport [GO:0031923]
Severe OA (pH 7.5)	Higher	GWK47_043943	233	0.61	0.32	0.0364	1.44	ACT_2	actin	P45521	6.40E-153	Actin (EC 3.6.4.-)	
Severe OA (pH 7.5)	Higher	GWK47_050571	22	0.61	0.33	0.0366	1.44	impdh1	Inosine-5'-monophosphate dehydrogenase 1				
Severe OA (pH 7.5)	Higher	GWK47_035654	34	0.60	0.28	0.0271	1.57	InR_1	Insulin-like receptor	Q93105	2.53E-69	Insulin-like receptor (MIR) (EC 2.7.10.1) [Cleaved into: Insulin-like receptor alpha chain; Insulin-like receptor beta chain]	glucose homeostasis [GO:0042593]; insulin receptor signaling pathway [GO:0008286]; neurogenesis [GO:0022008]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; protein autophosphorylation [GO:0046777]
Severe OA (pH 7.5)	Higher	GWK47_015047	6942	0.60	0.34	0.0438	1.36	4CL_0	4-coumarate--CoA ligase	P41636	1.46E-79	4-coumarate--CoA ligase (4CL) (EC 6.2.1.12) (4-coumaroyl-CoA synthase)	phenylpropanoid metabolic process [GO:0009698]
Severe OA (pH 7.5)	Higher	GWK47_043379	197	0.60	0.22	0.0110	1.96	sls_5	Titin	Q9I7U4	2.05E-51	Titin (D-Titin) (Kettin)	cell division [GO:0051301]; locomotion [GO:0040011]; mesoderm development [GO:0007498]; mitotic chromosome condensation [GO:0007076]; muscle attachment [GO:0016203]; myoblast fusion [GO:0007520]; regulation of hemocyte proliferation [GO:0035206]; sarcomere organization [GO:0045214]; sister chromatid cohesion [GO:0007062]; somatic muscle development [GO:0007525]; visceral muscle development [GO:0007522]
Severe OA (pH 7.5)	Higher	GWK47_005425	5838	0.59	0.19	0.0056	2.25	FHL2	Four and a half LIM domains protein 2	O35115	2.92E-91	Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3)	atrial cardiac muscle cell development [GO:0055014]; heart trabecula formation [GO:0060347]; negative regulation of apoptotic process [GO:0043066]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of transcription by RNA polymerase II [GO:0000122]; osteoblast differentiation [GO:0001649]; regulation of transcription by RNA polymerase II [GO:0006357]; response to hormone [GO:0009725]; ventricular cardiac muscle cell development [GO:0055015]
Severe OA (pH 7.5)	Higher	GWK47_044693	30	0.59	0.29	0.0280	1.55		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_048641	71	0.59	0.28	0.0346	1.46		Protein dopey-1	Q292H2	1.04E-37	Protein DOP1 homolog	Golgi to endosome transport [GO:0006895]; protein transport [GO:0015031]
Severe OA (pH 7.5)	Higher	GWK47_035222	24	0.59	0.28	0.0319	1.50	AAMP_3	Angio-associated migratory cell protein	Q13685	5.81E-27	Angio-associated migratory cell protein	angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; positive regulation of endothelial cell migration [GO:0010595]; smooth muscle cell migration [GO:0014909]
Severe OA (pH 7.5)	Higher	GWK47_043793	185	0.58	0.18	0.0064	2.19		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_052416	320	0.58	0.21	0.0128	1.89	SmydA-8_7	SET domain-containing protein SmydA-8, isoform A	O46040	1.45E-42	SET domain-containing protein SmydA-8, isoform A (EC 2.1.1.-)	methylation [GO:0032259]; negative regulation of gene expression [GO:0010629]
Severe OA (pH 7.5)	Higher	GWK47_042488	900	0.57	0.22	0.0150	1.82	FBXL7	F-box/LRR-repeat protein 7				
Severe OA (pH 7.5)	Higher	GWK47_035041	244	0.57	0.30	0.0391	1.41	NSMCE3	Non-structural maintenance of chromosomes element 3	Q96MG7	1.94E-19	Non-structural maintenance of chromosomes element 3 homolog (Non-SMC element 3 homolog) (Hepatocellular carcinoma-associated protein 4) (MAGE-G1 antigen) (Melanoma-associated antigen G1) (Necdin-like protein 2)	cellular response to hydroxyurea [GO:0072711]; cellular response to radiation [GO:0071478]; cellular response to UV [GO:0034644]; chromatin looping [GO:0140588]; DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of protein ubiquitination [GO:0031398]; protein sumoylation [GO:0016925]; regulation of telomere maintenance [GO:0032204]
Severe OA (pH 7.5)	Higher	GWK47_039827	402	0.56	0.18	0.0060	2.22	Rnaseh2a	Ribonuclease H2 subunit A	Q9CWY8	7.40E-98	Ribonuclease H2 subunit A (RNase H2 subunit A) (EC 3.1.26.4) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A)	mismatch repair [GO:0006298]; RNA catabolic process [GO:0006401]
Severe OA (pH 7.5)	Higher	GWK47_034418	51	0.55	0.23	0.0177	1.75		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_043382	604	0.54	0.20	0.0146	1.84	sls_10	Titin	Q9I7U4	1.48E-231	Titin (D-Titin) (Kettin)	cell division [GO:0051301]; locomotion [GO:0040011]; mesoderm development [GO:0007498]; mitotic chromosome condensation [GO:0007076]; muscle attachment [GO:0016203]; myoblast fusion [GO:0007520]; regulation of hemocyte proliferation [GO:0035206]; sarcomere organization [GO:0045214]; sister chromatid cohesion [GO:0007062]; somatic muscle development [GO:0007525]; visceral muscle development [GO:0007522]
Severe OA (pH 7.5)	Higher	GWK47_050003	8193	0.53	0.19	0.0084	2.07	miox	Inositol oxygenase	Q4V8T0	9.98E-64	Inositol oxygenase (EC 1.13.99.1) (Myo-inositol oxygenase) (MI oxygenase)	inositol catabolic process [GO:0019310]
Severe OA (pH 7.5)	Higher	GWK47_035933	814	0.53	0.28	0.0376	1.43		hypothetical protein	Q8BWB6	1.43E-17	Metalloreductase STEAP2 (EC 1.16.1.-) (Six-transmembrane epithelial antigen of prostate 2)	copper ion import [GO:0015677]; copper ion import across plasma membrane [GO:0098705]; endocytosis [GO:0006897]; Golgi to plasma membrane transport [GO:0006893]; iron ion import across cell outer membrane [GO:0098706]; iron ion import across plasma membrane [GO:0098711]; regulated exocytosis [GO:0045055]; response to hormone [GO:0009725]
Severe OA (pH 7.5)	Higher	GWK47_028805	83	0.52	0.29	0.0409	1.39	Trafd1	TRAF-type zinc finger domain-containing protein 1				
Severe OA (pH 7.5)	Higher	GWK47_043381	1088	0.52	0.15	0.0031	2.51	sls_8	Titin	Q9I7U4	1.54E-241	Titin (D-Titin) (Kettin)	cell division [GO:0051301]; locomotion [GO:0040011]; mesoderm development [GO:0007498]; mitotic chromosome condensation [GO:0007076]; muscle attachment [GO:0016203]; myoblast fusion [GO:0007520]; regulation of hemocyte proliferation [GO:0035206]; sarcomere organization [GO:0045214]; sister chromatid cohesion [GO:0007062]; somatic muscle development [GO:0007525]; visceral muscle development [GO:0007522]
Severe OA (pH 7.5)	Higher	GWK47_037317	435	0.51	0.20	0.0151	1.82	Hpdl	4-hydroxyphenylpyruvate dioxygenase-like protein	P49429	9.25E-11	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase) (F Alloantigen) (F protein)	L-phenylalanine catabolic process [GO:0006559]; tyrosine catabolic process [GO:0006572]
Severe OA (pH 7.5)	Higher	GWK47_023556	1616	0.50	0.21	0.0211	1.68		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_043380	902	0.50	0.18	0.0110	1.96	sls_4	Titin	Q9I7U4	1.36E-111	Titin (D-Titin) (Kettin)	cell division [GO:0051301]; locomotion [GO:0040011]; mesoderm development [GO:0007498]; mitotic chromosome condensation [GO:0007076]; muscle attachment [GO:0016203]; myoblast fusion [GO:0007520]; regulation of hemocyte proliferation [GO:0035206]; sarcomere organization [GO:0045214]; sister chromatid cohesion [GO:0007062]; somatic muscle development [GO:0007525]; visceral muscle development [GO:0007522]
Severe OA (pH 7.5)	Higher	GWK47_002328	975	0.49	0.17	0.0087	2.06		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_030718	868	0.48	0.20	0.0190	1.72		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_035984	63	0.48	0.25	0.0405	1.39	GABRR3_0	Gamma-aminobutyric acid receptor subunit rho-3	A8MPY1	2.73E-15	Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABAAR subunit rho-3) (GABA(C) receptor)	chemical synaptic transmission [GO:0007268]; chloride transmembrane transport [GO:1902476]; gamma-aminobutyric acid signaling pathway [GO:0007214]
Severe OA (pH 7.5)	Higher	GWK47_051818	50	0.47	0.28	0.0482	1.32	Foxl1	Forkhead box protein L1	P58012	2.19E-40	Forkhead box protein L2	anatomical structure morphogenesis [GO:0009653]; apoptotic DNA fragmentation [GO:0006309]; cell differentiation [GO:0030154]; embryonic eye morphogenesis [GO:0048048]; extraocular skeletal muscle development [GO:0002074]; female somatic sex determination [GO:0019101]; granulosa cell differentiation [GO:0060014]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; oocyte growth [GO:0001555]; ovarian follicle development [GO:0001541]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of follicle-stimulating hormone secretion [GO:0046881]; positive regulation of luteinizing hormone secretion [GO:0033686]; regulation of transcription by RNA polymerase II [GO:0006357]; single fertilization [GO:0007338]; uterus development [GO:0060065]
Severe OA (pH 7.5)	Higher	GWK47_023021	142	0.47	0.25	0.0411	1.39		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_024459	55	0.47	0.18	0.0151	1.82	Unc79_0	Protein unc-79	Q0KK59	5.27E-48	Protein unc-79 homolog	adult behavior [GO:0030534]; behavioral response to ethanol [GO:0048149]; multicellular organism growth [GO:0035264]; suckling behavior [GO:0001967]
Severe OA (pH 7.5)	Higher	GWK47_045438	62	0.47	0.21	0.0293	1.53		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_035783	5633	0.46	0.17	0.0150	1.82	nhl-1_1	RING finger protein nhl-1	Q03601	4.45E-53	RING finger protein nhl-1	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]
Severe OA (pH 7.5)	Higher	GWK47_018255	40	0.46	0.20	0.0226	1.65		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_028502	524	0.46	0.16	0.0110	1.96	unc-89_0	Muscle M-line assembly protein unc-89	D3ZEY0	5.48E-52	Coiled-coil domain-containing protein 141 (Coiled-coil protein associated with myosin II and DISC1)	brain development [GO:0007420]; centrosome localization [GO:0051642]; cerebral cortex radially oriented cell migration [GO:0021799]
Severe OA (pH 7.5)	Higher	GWK47_028505	8020	0.46	0.17	0.0166	1.78	TTN_0	Titin	Q8WZ42	4.78E-26	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; mitotic chromosome condensation [GO:0007076]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; positive regulation of gene expression [GO:0010628]; positive regulation of protein secretion [GO:0050714]; protein kinase A signaling [GO:0010737]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle contraction [GO:0003009]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; striated muscle contraction [GO:0006941]
Severe OA (pH 7.5)	Higher	GWK47_032313	395	0.45	0.19	0.0199	1.70		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_052328	60285	0.45	0.21	0.0319	1.50	TNT	Troponin T	P19351	5.78E-45	Troponin T, skeletal muscle (Protein intended thorax) (Protein upheld)	intracellular calcium ion homeostasis [GO:0006874]; mesoderm development [GO:0007498]; mitochondrion organization [GO:0007005]; muscle cell cellular homeostasis [GO:0046716]; muscle contraction [GO:0006936]; muscle organ morphogenesis [GO:0048644]; muscle thin filament assembly [GO:0071689]; myofibril assembly [GO:0030239]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; sarcomere organization [GO:0045214]
Severe OA (pH 7.5)	Higher	GWK47_024525	56	0.45	0.21	0.0304	1.52	Dxo_0	Decapping and exoribonuclease protein	Q5HZT0	1.04E-32	Decapping and exoribonuclease protein (DXO) (EC 3.6.1.-) (5'-3' exoribonuclease DXO) (EC 3.1.13.-) (Dom-3 homolog Z) (NAD-capped RNA hydrolase DXO) (DeNADding enzyme DXO) (EC 3.6.1.-)	mRNA catabolic process [GO:0006402]; NAD-cap decapping [GO:0110155]; nuclear mRNA surveillance [GO:0071028]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nucleic acid metabolic process [GO:0090304]; RNA destabilization [GO:0050779]
Severe OA (pH 7.5)	Higher	GWK47_046451	54	0.45	0.27	0.0474	1.32	ITIH4	Inter-alpha-trypsin inhibitor heavy chain H4	Q14624	6.00E-52	Inter-alpha-trypsin inhibitor heavy chain H4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4) (Inter-alpha-trypsin inhibitor family heavy chain-related protein) (IHRP) (Plasma kallikrein sensitive glycoprotein 120) (Gp120) (PK-120) [Cleaved into: 70 kDa inter-alpha-trypsin inhibitor heavy chain H4; 35 kDa inter-alpha-trypsin inhibitor heavy chain H4]	acute-phase response [GO:0006953]; hyaluronan metabolic process [GO:0030212]; response to cytokine [GO:0034097]
Severe OA (pH 7.5)	Higher	GWK47_025340	184	0.44	0.24	0.0410	1.39		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_015348	197	0.44	0.12	0.0028	2.56	ndufaf7_0	Protein arginine methyltransferase NDUFAF7, mitochondrial	Q08BY0	1.46E-107	Protein arginine methyltransferase NDUFAF7, mitochondrial (EC 2.1.1.320) (NADH dehydrogenase [ubiquinone] complex I, assembly factor 7) (Protein midA homolog)	chordate embryonic development [GO:0043009]; mitochondrial respiratory chain complex I assembly [GO:0032981]; peptidyl-arginine methylation, to symmetrical-dimethyl arginine [GO:0019918]
Severe OA (pH 7.5)	Higher	GWK47_008839	547	0.44	0.24	0.0464	1.33	Hsp22_2	Heat shock protein 22				
Severe OA (pH 7.5)	Higher	GWK47_021082	192	0.44	0.11	0.0015	2.82	nme6	Nucleoside diphosphate kinase 6	O75414	1.33E-45	Nucleoside diphosphate kinase 6 (NDK 6) (NDP kinase 6) (EC 2.7.4.6) (Inhibitor of p53-induced apoptosis-alpha) (IPIA-alpha) (nm23-H6)	apoptotic process [GO:0006915]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; negative regulation of cell growth [GO:0030308]; negative regulation of mitotic nuclear division [GO:0045839]; UTP biosynthetic process [GO:0006228]
Severe OA (pH 7.5)	Higher	GWK47_024495	528	0.44	0.23	0.0404	1.39		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_003643	1212	0.44	0.20	0.0340	1.47		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_009714	112	0.44	0.24	0.0470	1.33		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_039830	1545	0.43	0.11	0.0021	2.68	isoc2	Isochorismatase domain-containing protein 2	Q6DF67	2.10E-45	Isochorismatase domain-containing protein 2	
Severe OA (pH 7.5)	Higher	GWK47_016426	165	0.43	0.19	0.0261	1.58	BTF3_0	Transcription factor BTF3	Q6PC91	1.02E-46	Transcription factor BTF3 homolog 4 (Basic transcription factor 3-like 4)	
Severe OA (pH 7.5)	Higher	GWK47_043378	636	0.43	0.23	0.0407	1.39	sls_1	Titin	Q9I7U4	7.98E-184	Titin (D-Titin) (Kettin)	cell division [GO:0051301]; locomotion [GO:0040011]; mesoderm development [GO:0007498]; mitotic chromosome condensation [GO:0007076]; muscle attachment [GO:0016203]; myoblast fusion [GO:0007520]; regulation of hemocyte proliferation [GO:0035206]; sarcomere organization [GO:0045214]; sister chromatid cohesion [GO:0007062]; somatic muscle development [GO:0007525]; visceral muscle development [GO:0007522]
Severe OA (pH 7.5)	Higher	GWK47_035345	2498	0.43	0.14	0.0079	2.10	LUCB_5	Oplophorus-luciferin 2-monooxygenase non-catalytic subunit				
Severe OA (pH 7.5)	Higher	GWK47_022255	2517	0.43	0.09	0.0005	3.32	NDUFS4	NADH dehydrogenase [ubiquinone	Q9CXZ1	2.06E-16	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	adult behavior [GO:0030534]; adult walking behavior [GO:0007628]; aerobic respiration [GO:0009060]; brain development [GO:0007420]; cellular response to oxygen levels [GO:0071453]; cognition [GO:0050890]; dopamine metabolic process [GO:0042417]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; mitochondrial respiratory chain complex I assembly [GO:0032981]; neuron apoptotic process [GO:0051402]; neuron development [GO:0048666]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; psychomotor behavior [GO:0036343]; reactive oxygen species metabolic process [GO:0072593]; regulation of mitochondrial membrane potential [GO:0051881]; respiratory electron transport chain [GO:0022904]; respiratory system process [GO:0003016]; response to injury involved in regulation of muscle adaptation [GO:0014876]; sensory perception of sound [GO:0007605]; tricarboxylic acid cycle [GO:0006099]; visual perception [GO:0007601]
Severe OA (pH 7.5)	Higher	GWK47_052709	372	0.42	0.15	0.0106	1.97	znf367	Zinc finger protein 367	Q567C6	3.86E-32	Zinc finger protein 367	regulation of transcription by RNA polymerase II [GO:0006357]
Severe OA (pH 7.5)	Higher	GWK47_043577	158	0.42	0.21	0.0411	1.39		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_027809	6485	0.42	0.21	0.0381	1.42	Dusp13	Dual specificity protein phosphatase 13 isoform A	Q6B8I0	2.89E-39	Dual specificity protein phosphatase 13A (DUSP13A) (EC 3.1.3.16) (EC 3.1.3.48) (Muscle-restricted DSP)	
Severe OA (pH 7.5)	Higher	GWK47_048045	8700	0.41	0.10	0.0014	2.87		putative ATP synthase subunit f, mitochondrial	Q9W141	6.80E-44	Putative ATP synthase subunit f, mitochondrial	proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; proton transmembrane transport [GO:1902600]
Severe OA (pH 7.5)	Higher	GWK47_035240	290	0.41	0.13	0.0056	2.25	Tma16	Translation machinery-associated protein 16	Q9CR02	4.68E-20	Translation machinery-associated protein 16	ribosomal large subunit biogenesis [GO:0042273]
Severe OA (pH 7.5)	Higher	GWK47_041023	156	0.40	0.16	0.0177	1.75		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_027808	2596	0.40	0.21	0.0425	1.37		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_053177	108	0.40	0.21	0.0423	1.37		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_021533	21350	0.40	0.14	0.0117	1.93	ENO	Enolase	P56252	6.79E-304	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	glycolytic process [GO:0006096]
Severe OA (pH 7.5)	Higher	GWK47_018988	199308	0.40	0.13	0.0082	2.08	fabp1	Fatty acid-binding protein, liver				
Severe OA (pH 7.5)	Higher	GWK47_023555	10207	0.39	0.22	0.0482	1.32		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_053993	161	0.39	0.12	0.0041	2.39	Ptrh2_1	Peptidyl-tRNA hydrolase 2, mitochondrial	Q8R2Y8	2.42E-53	Peptidyl-tRNA hydrolase 2, mitochondrial (PTH 2) (EC 3.1.1.29)	negative regulation of anoikis [GO:2000811]; negative regulation of gene expression [GO:0010629]; positive regulation of anoikis [GO:2000210]
Severe OA (pH 7.5)	Higher	GWK47_049109	206	0.39	0.22	0.0475	1.32	TRPA1	Transient receptor potential cation channel subfamily A member 1				
Severe OA (pH 7.5)	Higher	GWK47_040207	1093	0.39	0.08	0.0003	3.49	THUMPD1	THUMP domain-containing protein 1	Q24K03	6.22E-25	THUMP domain-containing protein 1	tRNA modification [GO:0006400]
Severe OA (pH 7.5)	Higher	GWK47_035528	1707	0.39	0.14	0.0153	1.82		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_001655	8641	0.39	0.09	0.0007	3.14	ATPsynD	ATP synthase subunit d, mitochondrial	Q24251	3.68E-30	ATP synthase subunit d, mitochondrial (ATPase subunit d)	ATP metabolic process [GO:0046034]; determination of adult lifespan [GO:0008340]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of TOR signaling [GO:0032007]; proton motive force-driven ATP synthesis [GO:0015986]; proton transmembrane transport [GO:1902600]; regulation of mitochondrial membrane potential [GO:0051881]; response to oxidative stress [GO:0006979]
Severe OA (pH 7.5)	Higher	GWK47_038567	569	0.39	0.15	0.0150	1.82	cyaB_1	Adenylate cyclase CyaB				
Severe OA (pH 7.5)	Higher	GWK47_020084	10547	0.39	0.09	0.0012	2.94	ATPsynO	ATP synthase subunit O, mitochondrial	Q24439	9.94E-62	ATP synthase subunit O, mitochondrial (Oligomycin sensitivity conferral protein) (OSCP)	proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; proton transmembrane transport [GO:1902600]
Severe OA (pH 7.5)	Higher	GWK47_047830	1178	0.39	0.11	0.0029	2.54	mRpS10	28S ribosomal protein S10, mitochondrial	Q9VFB2	1.34E-38	Small ribosomal subunit protein uS10m (28S ribosomal protein S10, mitochondrial) (MRP-S10) (S10mt)	mitochondrial translation [GO:0032543]
Severe OA (pH 7.5)	Higher	GWK47_001800	4917	0.38	0.10	0.0016	2.79	Pgk	Phosphoglycerate kinase 1	Q60HD8	3.31E-123	Phosphoglycerate kinase 1 (EC 2.7.11.1) (EC 2.7.2.3)	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
Severe OA (pH 7.5)	Higher	GWK47_030834	1079	0.38	0.09	0.0007	3.15	GADD45GIP1	Growth arrest and DNA damage-inducible proteins-interacting protein 1				
Severe OA (pH 7.5)	Higher	GWK47_029379	141	0.38	0.15	0.0204	1.69	HSCB_0	Iron-sulfur cluster co-chaperone protein HscB, mitochondrial				
Severe OA (pH 7.5)	Higher	GWK47_017206	974	0.38	0.09	0.0007	3.15	polr1e_0	DNA-directed RNA polymerase I subunit RPA49	Q6GLI9	1.25E-19	DNA-directed RNA polymerase I subunit RPA49 (RNA polymerase I subunit A49) (DNA-directed RNA polymerase I subunit E) (RNA polymerase I-associated factor 1) (RNA polymerase I-associated factor 53)	RNA polymerase I preinitiation complex assembly [GO:0001188]; transcription elongation by RNA polymerase I [GO:0006362]
Severe OA (pH 7.5)	Higher	GWK47_027371	1670	0.38	0.08	0.0003	3.48	mRpL13	39S ribosomal protein L13, mitochondrial	Q9VJ38	5.76E-75	Large ribosomal subunit protein uL13m (39S ribosomal protein L13, mitochondrial) (L13mt) (MRP-L13)	mitochondrial translation [GO:0032543]; negative regulation of translation [GO:0017148]
Severe OA (pH 7.5)	Higher	GWK47_020290	4309	0.38	0.08	0.0005	3.32	Decr1	2,4-dienoyl-CoA reductase, mitochondrial	Q16698	2.50E-130	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial (EC 1.3.1.124) (2,4-dienoyl-CoA reductase [NADPH]) (4-enoyl-CoA reductase [NADPH]) (Short chain dehydrogenase/reductase family 18C member 1)	fatty acid beta-oxidation [GO:0006635]; positive regulation of cold-induced thermogenesis [GO:0120162]
Severe OA (pH 7.5)	Higher	GWK47_034692	449	0.38	0.16	0.0268	1.57	dscc1	Sister chromatid cohesion protein DCC1	Q66I84	6.32E-89	Sister chromatid cohesion protein DCC1 (Defective in sister chromatid cohesion protein 1 homolog)	DNA replication [GO:0006260]; maintenance of mitotic sister chromatid cohesion [GO:0034088]; regulation of DNA replication [GO:0006275]
Severe OA (pH 7.5)	Higher	GWK47_053592	4344	0.38	0.11	0.0039	2.41	RIDA	2-iminobutanoate/2-iminopropanoate deaminase	P80601	4.54E-49	2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (14.3 kDa perchloric acid soluble protein) (Translation inhibitor L-PSP ribonuclease) (EC 3.1.-.-) (UK114 antigen)	lipid metabolic process [GO:0006629]; mRNA catabolic process [GO:0006402]; mRNA destabilization [GO:0061157]; negative regulation of translation [GO:0017148]
Severe OA (pH 7.5)	Higher	GWK47_048170	534	0.38	0.12	0.0064	2.19		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_002789	166	0.38	0.11	0.0034	2.46	DNAJC27	DnaJ subfamily C member 27	Q6IMM1	1.52E-73	DnaJ homolog subfamily C member 27 (Rab and DnaJ domain-containing protein)	intracellular protein transport [GO:0006886]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]
Severe OA (pH 7.5)	Higher	GWK47_015889	597	0.38	0.11	0.0043	2.37	Cox16	Cytochrome c oxidase assembly protein COX16, mitochondrial	Q9CR63	1.52E-21	Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial	mitochondrial cytochrome c oxidase assembly [GO:0033617]
Severe OA (pH 7.5)	Higher	GWK47_008485	1072	0.38	0.09	0.0009	3.02	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1	Q5R587	9.61E-128	DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (DNA-directed RNA polymerase II subunit E) (RPB5 homolog)	transcription by RNA polymerase II [GO:0006366]; transcription elongation by RNA polymerase I [GO:0006362]; tRNA transcription by RNA polymerase III [GO:0042797]
Severe OA (pH 7.5)	Higher	GWK47_019054	4982	0.37	0.14	0.0159	1.80	LUCB_0	Oplophorus-luciferin 2-monooxygenase non-catalytic subunit	Q9GV46	5.39E-28	Oplophorus-luciferin 2-monooxygenase non-catalytic subunit	
Severe OA (pH 7.5)	Higher	GWK47_004794	1246	0.37	0.18	0.0408	1.39	TBA_4	Tubulin alpha chain	P06603	4.94E-265	Tubulin alpha-1 chain (EC 3.6.5.-)	lysosome localization [GO:0032418]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]
Severe OA (pH 7.5)	Higher	GWK47_042098	91662	0.37	0.19	0.0448	1.35	Fabp7	Fatty acid-binding protein, brain	O15540	7.93E-24	Fatty acid-binding protein, brain (Brain lipid-binding protein) (BLBP) (Brain-type fatty acid-binding protein) (B-FABP) (Fatty acid-binding protein 7) (Mammary-derived growth inhibitor related)	epithelial cell proliferation [GO:0050673]; fatty acid transport [GO:0015908]; negative regulation of cell population proliferation [GO:0008285]; nervous system development [GO:0007399]
Severe OA (pH 7.5)	Higher	GWK47_014814	225	0.37	0.19	0.0407	1.39	TIGD7_0	Tigger transposable element-derived protein 7	Q6NT04	3.20E-87	Tigger transposable element-derived protein 7	
